진료년도,진료월,시도,시군구,진료과목코드,진료과목명,진료인원(명),진료건수(건)
2022,01,서울특별시,성북구,6,신경외과,5821,13160
2022,01,서울특별시,성북구,7,심장혈관흉부외과,694,993
2022,01,서울특별시,성북구,8,성형외과,539,1084
2022,01,서울특별시,성북구,9,마취통증의학과,3753,7945
2022,01,서울특별시,성북구,10,산부인과,11047,19029
2022,01,서울특별시,성북구,11,소아청소년과,9214,19612
2022,01,서울특별시,성북구,12,안과,22477,28664
2022,01,서울특별시,성북구,13,이비인후과,19930,34013
2022,01,서울특별시,성북구,14,피부과,15917,22952
2022,01,서울특별시,성북구,15,비뇨의학과,8196,12021
2022,01,서울특별시,성북구,16,영상의학과,333,438
2022,01,서울특별시,성북구,17,방사선종양학과,283,1247
2022,01,서울특별시,성북구,19,진단검사의학과,49,67
2022,01,서울특별시,성북구,20,결핵과,9,15
2022,01,서울특별시,성북구,21,재활의학과,3866,10185
2022,01,서울특별시,성북구,22,핵의학과,26,50
2022,01,서울특별시,성북구,23,가정의학과,9392,14374
2022,01,서울특별시,성북구,24,응급의학과,2482,3875
2022,01,서울특별시,성북구,25,직업환경의학과,58,113
2022,01,서울특별시,성북구,26,예방의학과,5,9
2022,01,서울특별시,성북구,27,그외 자료27,9,13
2022,01,서울특별시,성북구,49,치과,5261,5849
2022,01,서울특별시,성북구,50,구강악안면외과,6115,8906
2022,01,서울특별시,성북구,51,치과보철과,2165,3187
2022,01,서울특별시,성북구,52,치과교정과,65,72
2022,01,서울특별시,성북구,53,소아치과,2040,2231
2022,01,서울특별시,성북구,54,치주과,14889,18481
2022,01,서울특별시,성북구,55,치과보존과,14922,21557
2022,01,서울특별시,성북구,56,구강내과,563,711
2022,01,서울특별시,성북구,57,구강악안면방사선과,141,148
2022,01,서울특별시,성북구,61,통합치의학과,23,26
2022,01,서울특별시,성북구,71,의과,67,81
2022,01,서울특별시,성북구,99,그외 자료99,7,7
2022,01,서울특별시,강북구,0,일반,521,648
2022,01,서울특별시,강북구,1,내과,68328,116726
2022,01,서울특별시,강북구,2,신경과,5368,7173
2022,01,서울특별시,강북구,3,정신건강의학과,7566,12912
2022,01,서울특별시,강북구,4,외과,10284,19385
2022,01,서울특별시,강북구,5,정형외과,24983,57951
2022,01,서울특별시,강북구,6,신경외과,3682,6496
2022,01,서울특별시,강북구,7,심장혈관흉부외과,620,907
2022,01,서울특별시,강북구,8,성형외과,322,658
2022,01,서울특별시,강북구,9,마취통증의학과,3698,8062
2022,01,서울특별시,강북구,10,산부인과,6342,10922
2022,01,서울특별시,강북구,11,소아청소년과,4380,8525
2022,01,서울특별시,강북구,12,안과,15880,20765
2022,01,서울특별시,강북구,13,이비인후과,13661,23127
2022,01,서울특별시,강북구,14,피부과,9389,13963
2022,01,서울특별시,강북구,15,비뇨의학과,6407,9620
2022,01,서울특별시,강북구,16,영상의학과,195,239
2022,01,서울특별시,강북구,17,방사선종양학과,194,836
2022,01,서울특별시,강북구,19,진단검사의학과,33,51
2022,01,서울특별시,강북구,20,결핵과,5,8
